COMID,Lat,Lon,Elev_m
167534,-15.419718272999944,-58.62783525999998,0.0
167535,-15.43871392799997,-58.574223367999934,0.0
167539,-15.431497688999968,-56.406008896999936,0.0
167542,-15.442627928999968,-55.42301236099996,0.0
167550,-15.485947231999944,-56.295801282999946,0.0
167553,-15.415824075999979,-58.72829006899997,0.0
167554,-15.52577054699998,-58.71626659799995,0.0
167557,-15.514153222999937,-58.114063199999975,0.0
167608,-15.541164619999961,-56.743062426999984,0.0
167621,-15.575136391999933,-58.92400476299997,0.0
167622,-15.531745163999972,-58.92919773099993,0.0
167629,-15.548492929999952,-56.16304211199997,0.0
167631,-15.505612514999939,-58.86132370499996,0.0
167633,-15.551704658999938,-56.77424699199997,0.0
167638,-15.587808611999947,-58.87864223099996,0.0
167651,-15.499876609999944,-57.51592982899996,0.0
167655,-15.548965862999978,-57.425937276999946,0.0
167671,-15.57651980199995,-58.44358066999996,0.0
167672,-15.557231004999949,-58.36968835999994,0.0
167689,-15.592511006999928,-54.98847749099997,0.0
167714,-15.62838957799994,-54.772672805999946,0.0
167715,-15.600977703999945,-58.64716378299994,0.0
167716,-15.580855908999979,-58.57138758999997,0.0
167717,-15.620198074999962,-56.11389391499995,0.0
167718,-15.508901796999965,-55.991129214999944,0.0
167725,-15.641680429999951,-54.72919603999998,0.0
167729,-15.535149975999957,-57.241407970999944,0.0
167756,-15.628631737999967,-55.799219009999945,0.0
167759,-15.527995032999968,-57.04321673099997,0.0
167761,-15.643747464999933,-55.71949201399997,0.0
167763,-15.664738375999946,-55.672403831999986,0.0
167766,-15.669628950999936,-47.67131385799996,0.0
167767,-15.649673311999948,-47.60287468399997,0.0
167776,-15.634477827999945,-55.90289758799997,0.0
167777,-15.671023617999936,-55.84218641099994,0.0
167779,-15.671055229999979,-55.76857848299994,0.0
167792,-15.631046497999932,-55.06028658399998,0.0
167794,-15.667480009999963,-58.555275037999934,0.0
167799,-15.640722466999932,-58.71289503699995,0.0
167818,-15.621268967999981,-56.360552190999954,0.0
167820,-15.713488008999946,-58.93553153299996,0.0
167831,-15.63668793499994,-57.56843471099995,0.0
167832,-15.664062310999952,-57.50948539799998,0.0
167837,-15.724619279999956,-58.963537515999974,0.0
167838,-15.723468044999947,-58.91975923899997,0.0
167863,-15.71674963099997,-58.55066067499996,0.0
167879,-15.743464805999963,-58.57685314599996,0.0
167896,-15.73866385399998,-56.919066286999964,0.0
167897,-15.759034044999964,-56.918756935999966,0.0
167903,-15.761761608999961,-57.44095765299994,0.0
167905,-15.739744710999958,-48.20922678599993,0.0
167906,-15.756458463999934,-48.207291665999946,0.0
167908,-15.74643778799998,-58.40087793499998,0.0
167909,-15.690615657999956,-58.38488628699997,0.0
167916,-15.749909892999938,-57.52984077999997,0.0
167917,-15.753256936999946,-57.48274897699997,0.0
167924,-15.756847935999929,-47.84815654799996,0.0
167925,-15.716717614999936,-47.876773226999944,0.0
167926,-15.709377581999945,-56.10286398499994,0.0
167936,-15.716548306999982,-54.997784294999974,0.0
167937,-15.698985298999958,-54.88729753599995,0.0
167945,-15.783211549999976,-47.808783895999966,0.0
167958,-15.771309205999955,-56.18388293899994,0.0
167961,-15.701657488999956,-54.39708494399997,0.0
167962,-15.739782608999974,-54.32617788899995,0.0
167963,-15.782393690999982,-58.394604819999984,0.0
167964,-15.77323193799998,-58.36453906299994,0.0
167975,-15.787006090999967,-57.514267588999985,0.0
167976,-15.800236336999944,-57.50200678999994,0.0
167989,-15.796820497999931,-47.74458273699997,0.0
167990,-15.748166658999935,-47.68128475399993,0.0
167997,-15.804309900999954,-47.81867881299996,0.0
168000,-15.82410628699995,-58.75287214399998,0.0
168001,-15.764539867999929,-58.81463319399995,0.0
168017,-15.834484891999978,-54.39449561899994,0.0
168018,-15.818191721999938,-54.36922231999995,0.0
