DrainLnID,area_sqm,lon_index,lat_index,npoints
166194,46577031.52,75,407,14
166194,31729406.08,74,407,14
166194,7556279.254,74,406,14
166194,21475130.5,77,407,14
166194,46577032.19,76,407,14
166194,10895045.54,76,406,14
166194,35432155.58,76,408,14
166194,29228130.12,74,408,14
166194,5381092.305,73,408,14
166206,29551331.24,75,406,9
166206,12339760.35,77,406,9
166206,1489399.728,75,404,9
166206,614612.8474,74,406,9
166206,44242541.96,75,405,9
166206,8823919.887,74,405,9
166206,35669091.23,76,406,9
166206,3461705.952,77,405,9
166206,33662697.42,76,405,9
166216,6034721.384,77,406,1
166217,5034053.283,79,408,12
166217,40986850.62,77,408,12
166217,10702231.15,77,406,12
166217,31300132.19,78,407,12
166217,25101901.69,77,407,12
166217,7949559.985,78,406,12
166217,7424976.444,79,409,12
166217,46381009.1,78,409,12
166217,26229338.82,77,409,12
166217,45540162.29,78,408,12
166217,14553152.18,78,410,12
166217,4667315.003,77,410,12
166231,3545364.288,101,406,11
166231,11897606.97,101,408,11
166231,23721015.29,99,408,11
166231,45179873.48,100,407,11
166231,11769191.53,99,407,11
166231,12532001.17,100,406,11
166231,17115704.93,101,407,11
166231,540526.6694,101,409,11
166231,17956304.87,100,409,11
166231,399697.958,99,409,11
166231,46589871.94,100,408,11
166232,29671696.79,101,406,8
166232,1822008.522,101,408,8
166232,231773.055,100,406,8
166232,6507634.562,102,407,8
166232,21091297.49,101,407,8
166232,33941320.11,102,406,8
166232,97281.12099,103,407,8
166232,7034710.156,103,406,8
166252,20693.49527,101,406,2
166252,177961.1724,100,406,2
166253,18992108.62,110,406,6
166253,1446831.752,111,407,6
166253,12123536.78,110,407,6
166253,22199101.93,111,406,6
166253,206921.9813,111,405,6
166253,231753.1691,110,405,6
166266,23782414.33,115,406,23
166266,6211.123084,117,408,23
166266,46564136.77,117,406,23
166266,43871975.32,119,406,23
166266,10682160.29,117,404,23
166266,281325.7486,115,404,23
166266,659894.8108,118,404,23
166266,5847971.407,116,404,23
166266,308402.9082,115,407,23
166266,3225836.373,115,405,23
166266,30726980.23,118,407,23
166266,38293705.77,117,407,23
166266,29156339.99,116,407,23
166266,46564136.1,118,406,23
166266,46564136.77,116,406,23
166266,36548713.03,118,405,23
166266,46551188.22,117,405,23
166266,42415426.07,116,405,23
166266,7971342.097,120,407,23
166266,25178995.67,119,407,23
166266,6372364.572,120,406,23
166266,7595836.441,119,405,23
166266,43477.95018,116,408,23
166267,13320174.51,101,406,18
166267,11647694.2,104,406,18
166267,20497245.59,101,404,18
166267,4912838.264,102,404,18
166267,837559.0335,101,403,18
166267,1511792.617,100,404,18
166267,5263031.04,100,403,18
166267,277285.0343,100,406,18
166267,12622816,102,406,18
166267,41311092.96,102,405,18
166267,23466760.13,101,405,18
166267,22254736.76,104,407,18
166267,788608.2811,103,407,18
166267,34123275.85,103,406,18
166267,548335.0494,104,405,18
166267,11632666.92,103,405,18
166267,7262432.333,105,407,18
166267,923398.7351,105,408,18
166279,30602977.19,72,408,15
166279,31399974.66,70,406,15
166279,42336445.29,72,406,15
166279,13875015.27,69,407,15
166279,7680662.668,69,406,15
166279,36459726.73,71,407,15
166279,16364718.38,70,407,15
166279,41459254.37,71,406,15
166279,31038.11109,71,405,15
166279,15874025.62,73,407,15
166279,46577032.19,72,407,15
166279,1363919.381,73,406,15
166279,10517442.35,72,405,15
166279,15485758.11,73,408,15
166279,4482611.335,71,408,15
166280,24831.47648,75,406,9
166280,4227691.485,72,406,9
166280,27566488.74,73,407,9
166280,45200217.39,73,406,9
166280,29132161.99,73,405,9
166280,4210655.231,72,405,9
166280,14847626.11,74,407,9
166280,38393244.67,74,406,9
166280,16484680.8,74,405,9
166297,9239748.571,115,406,30
166297,6988017.45,113,408,30
166297,494549.9014,110,406,30
166297,46564136.77,113,406,30
166297,34680866.04,115,404,30
166297,46538183.86,113,404,30
166297,8077702.579,110,404,30
166297,2068.646485,116,404,30
166297,46538183.19,114,404,30
166297,3356387.341,115,403,30
166297,12784330.41,114,403,30
166297,45371779.58,112,404,30
166297,25716521.36,113,403,30
166297,8937397.416,112,403,30
166297,37365927.23,111,404,30
166297,55837.77109,111,403,30
166297,7201289.832,111,406,30
166297,46344266.24,111,405,30
166297,29474050.68,110,405,30
166297,30385807.1,113,407,30
166297,8476315.461,112,407,30
166297,37058064.44,112,406,30
166297,46551188.22,113,405,30
166297,46551188.22,112,405,30
166297,2827882.607,114,407,30
166297,31743027.22,114,406,30
166297,43325351.85,115,405,30
166297,46551187.55,114,405,30
166297,4135762.153,116,405,30
166297,17677435.41,114,408,30
166305,1657487.565,108,406,9
166305,27077477.59,110,406,9
166305,20686.47007,109,404,9
166305,1057702.658,109,407,9
166305,32422085.76,109,406,9
166305,35603469.48,109,405,9
166305,13173695.74,108,405,9
166305,5623918.841,110,407,9
166305,16483367.64,110,405,9
166313,12503274.32,81,406,12
166313,12617234,81,408,12
166313,28982735.89,82,407,12
166313,44271150.81,82,406,12
166313,12429027.57,82,405,12
166313,8276.911856,81,405,12
166313,722380.723,83,407,12
166313,10864913.77,83,406,12
166313,9449195.598,83,405,12
166313,979570.4596,82,409,12
166313,1348206.899,81,409,12
166313,14600176.51,82,408,12
166314,29236675.79,84,406,8
166314,510951.456,84,404,8
166314,7730175.77,83,404,8
166314,21958471.37,83,406,8
166314,31099258.33,84,405,8
166314,31965324.46,83,405,8
166314,3159825.784,85,406,8
166314,6292163.802,85,405,8
166327,1186352.341,108,408,13
166327,2595177.321,106,406,13
166327,26021361.44,106,404,13
166327,1776924.473,107,404,13
166327,7250290.466,105,404,13
166327,35186.86993,106,407,13
166327,42824643.58,106,405,13
166327,7060710.653,105,405,13
166327,999965.5185,108,407,13
166327,24435260.17,107,407,13
166327,31224964,107,406,13
166327,7398586.328,107,405,13
166327,383023.6586,107,408,13
166328,44906649.21,108,406,11
166328,23658591.1,108,408,11
166328,111726.0034,106,405,11
166328,19968952.52,109,407,11
166328,41136332.74,108,407,11
166328,10186218.58,107,407,11
166328,14142051.01,109,406,11
166328,14010594.12,107,406,11
166328,6507469.953,108,405,11
166328,28980462.14,107,405,11
166328,2588317.971,109,408,11
166360,7683382.901,77,406,7
166360,1164593.169,79,404,7
166360,3874426.473,78,404,7
166360,18858978.62,78,406,7
166360,33131840.62,78,405,7
166360,13819473.63,77,405,7
166360,399255.2432,79,405,7
166366,322674.6326,78,404,1
166370,12436605.97,130,406,11
166370,1636284.83,130,404,11
166370,1383893.674,132,404,11
166370,3340754.769,131,404,11
166370,13621387.11,129,404,11
166370,1897514.688,129,406,11
166370,29510738.79,129,405,11
